"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
0155,간석역,k0301,경인선,Ganseok,間 石,일반역,,,37.4646890000,126.6934080000,한국철도공사,인천시 남동구 석정로 522-14,032-427-7788,2017-05-12
0156,주안역,k0301,경인선,Juan,朱 安,환승역,,경인/인천2,37.4650410000,126.6807020000,한국철도공사,인천시 남구 주안로 95-19,032-863-0915,2017-05-12
0157,도화역,k0301,경인선,Dohwa,道 禾,일반역,,,37.4661540000,126.6684600000,한국철도공사,인천시 남구 숙골로 24번길 9,032-863-1464,2017-05-12
0148,명학역,k0201,경부선,Myeonghak,鳴 鶴,일반역,,,37.3844350000,126.9355790000,한국철도공사,경기도 안양시 만안구 만안로 20,031-441-7788,2017-05-12
0158,제물포역,k0301,경인선,Jemulpo,濟物浦,일반역,,,37.4668090000,126.6571650000,한국철도공사,인천시 남구 경인로 129,032-883-7788,2017-05-12
0159,도원역,k0301,경인선,Dowon,桃 源,일반역,,,37.4686040000,126.6428240000,한국철도공사,인천시 동구 참외전로 245,032-773-7788,2017-05-12
0160,동인천역,k0301,경인선,Dongincheon,東仁川,일반역,,,37.4754140000,126.6325980000,한국철도공사,인천시 중구 참외전로 119,032-762-2737,2017-05-12
0161,인천역,k0301,경인선,Incheon,仁 川,환승역,k0301+k2015,경인/수인,37.4763640000,126.6169360000,한국철도공사,인천시 중구 제물량로 269,032-760-4272,2017-05-12
0435,선바위역,k0303,과천선,Seonbawi,,일반역,,,37.4518540000,127.0021640000,한국철도공사,경기도 과천시 중앙로 440,02-502-1356,2017-05-12
0436,경마공원역,k0303,과천선,Seoul Racecourse park,競 馬公 園,일반역,,,37.4439870000,127.0078990000,한국철도공사,경기도 과천시 경마공원대로 105,02-502-7892,2017-05-12
0437,대공원역,k0303,과천선,Seoul Grand park,大公園,일반역,,,37.4357240000,127.0064740000,한국철도공사,경기도 과천시 대공원로 50,02-502-5491,2017-05-12
0438,과천역,k0303,과천선,Gwacheon,果 川,일반역,,,37.4332050000,126.9964040000,한국철도공사,경기도 과천시 별양로 지하 177,02-3679-8831,2017-05-12
0439,정부과천청사역,k0303,과천선,Government Complex Gwacheon,政府果川廳舍,일반역,,,37.4264450000,126.9898020000,한국철도공사,경기도 과천시 중앙로 지하 100,02-503-2265,2017-05-12
0417,이천역,k0218,경강선,Icheon,利川,일반역,,,37.2642220000,127.4421350000,한국철도공사,경기도 이천시 율현동 435,070-7821-5690,2017-05-12
0418,부발역,k0218,경강선,Bubal,夫鉢,일반역,,,37.2604110000,127.4903030000,한국철도공사,경기도 이천시 부발읍 아미리 505-7,070-7821-5700,2017-05-12
0419,세종대왕릉역,k0218,경강선,Sejongdaewangneung,世宗大王陵,일반역,,,37.2936360000,127.5707640000,한국철도공사,경기도 여주시 능서면 신지리 275,070-7821-5710,2017-05-12
0420,여주역,k0218,경강선,Yeoju,驪州,일반역,,,37.2828810000,127.6285710000,한국철도공사,경기도 여주시 교동 403-1,070-7821-5721,2017-05-12
0166,성환역,k0201,경부선,Seonghwan,成 歡,일반역,,,36.9157810000,127.1270070000,한국철도공사,충남 천안시 서북구 성환읍 성롼1로 237-5(성환리 449-128),041-581-7788,2017-05-12
0167,직산역,k0201,경부선,Jiksan,稷 山,일반역,,,36.8709210000,127.1437740000,한국철도공사,충남 천안시 서북구 직산읍 천안대로 1471-33,041-583-7788,2017-05-12
0168,두정역,k0201,경부선,Dujeong,斗 井,일반역,,,36.8337910000,127.1489050000,한국철도공사,충남 천안시 서북구 두정로 289(두정동 84-1),041-562-7791,2017-05-12
0169,천안역,k0201,경부선,Cheonan,天 安,일반역,,,36.8102380000,127.1464170000,한국철도공사,충남 천안시 동남구 대흥로 239(대흥동 57-1),041-562-7034,2017-05-12
0170,봉명역,k0208,장항선,Bongmyeong,鳳鳴,일반역,,,36.8015780000,127.1363190000,한국철도공사,충남 천안시 동남구 차돌로 51(봉명동 20-2),070-7733-1131,2017-05-12
0171,쌍용(나사렛대)역,k0208,장항선,Ssangyong(Korea Nazarene Univ.),雙龍(拿撒勒大),일반역,,,36.7937450000,127.1213630000,한국철도공사,충청남도 천안시 서북구 쌍용2동 426-3,070-7733-1130,2017-05-12
0172,아산역,k0208,장항선,Asan,牙 山,일반역,,,36.7921950000,127.1050490000,한국철도공사,충남 아산시 배방읍 희망로 90(장재리 325-3),041-549-6788,2017-05-12
0174,배방역,k0208,장항선,Baebang,排 芳,일반역,,,36.7775410000,127.0527510000,한국철도공사,충남 아산시 배방읍 온천대로 1967,041-548-7788,2017-05-12
0176,온양온천역,k0208,장항선,Onyangoncheon,溫陽溫泉,일반역,,,36.7804190000,127.0037070000,한국철도공사,충남 아산시 온천대로 1496(온천동 56-9),041-541-0865,2017-05-12
0177,신창(순천향대)역,k0208,장항선,Sinchang (Soonchunhyang Univ.),신 창,일반역,,,36.7692130000,126.9501290000,한국철도공사,충남 아산시 신창면 행목로 50,041-543-7788,2017-05-12
0410,부전역,k0211,동해선,Bujeon,釜 田,일반역,,,35.1646680000,129.0601100000,한국철도공사,부산광역시 부산진구 부전동 280-76,051-440-2607,2017-05-12
0411,거제해맞이역,k0211,동해선,Geojehaemaji,巨堤해맞이,환승역,,부산지하철3호선,35.1821970000,129.0693150000,한국철도공사,부산광역시 연제구 거제동 619-1,051-440-2234,2017-05-12
0412,거제역,k0211,동해선,Geoje,巨 堤,일반역,,,35.1885870000,129.0739040000,한국철도공사,부산광역시 연제구 거제동 619-1,051-440-2238,2017-05-12
0413,교대역,k0211,동해선,Busan Nat’l Univ. of Edu,敎 大,환승역,,부산지하철1호선,37.4929750000,127.0138140000,한국철도공사,부산광역시 연제구 거제동 42-3,051-440-2240,2017-05-12
0414,동래역,k0211,동해선,Dongnae,東 萊,일반역,,,35.2056140000,129.0785020000,한국철도공사,부산광역시 동래구 낙민동 130-4,051-440-2242,2017-05-12
0415,안락역,k0211,동해선,Allak,安 樂,일반역,,,35.1959070000,129.1010620000,한국철도공사,부산광역시 동래구 안락동 201-2,051-440-2260,2017-05-12
0417,재송역,k0211,동해선,Jaesong,裁 松,일반역,,,35.1890000000,129.1209190000,한국철도공사,부산광역시 해운대구 재송동 933-1,051-440-2262,2017-05-12
0418,센텀역,k0211,동해선,Centum,-,일반역,,,35.1689210000,129.1316590000,한국철도공사,부산광역시 해운대구 우동 1215-32,051-440-2264,2017-05-12
0419,벡스코역,k0211,동해선,BEXCO,-,환승역,,부산지하철2호선,35.1689900000,129.1386800000,한국철도공사,부산광역시 해운대구 우동 1111-2,051-440-2266,2017-05-12
0420,신해운대역,k0211,동해선,Shin-Haeundae,新海雲臺,일반역,,,35.1818320000,129.1766960000,한국철도공사,부산광역시 해운대구 좌동 138-4,051-440-2271,2017-05-12
0421,송정역,k0211,동해선,Songjeong,松 亭,일반역,,,35.1375590000,126.7915350000,한국철도공사,부산광역시 해운대구 송정동 299-2,051-440-2273,2017-05-12
0422,오시리아역,k0211,동해선,OSIRIA,-,일반역,,,35.1962560000,129.2082910000,한국철도공사,부산광역시 기장군 기장읍 당사리 261,051-440-2275,2017-05-12
0423,기장역,k0211,동해선,Gijang,機 張,일반역,,,35.2430270000,129.2185510000,한국철도공사,부산광역시 기장군 기장읍 청강리 25-16,051-721-7788,2017-05-12
0424,일광역,k0211,동해선,Ilgwang,日 光,일반역,,,35.2655650000,129.2333070000,한국철도공사,부산광역시 기장군 일광면 이천리 750-4,051-440-2279,2017-05-12
0144,광명역,k0201,고속선,Gwangmyeong,光 明,일반역,,,37.4159950000,126.8845230000,한국철도공사,경기도 광명시 광명역로 21,02-899-9272,2017-05-12
0145,석수역,k0201,경부선,Seoksu,石 水,일반역,,,37.4351610000,126.9022330000,한국철도공사,경기도 안양시 만안구 경수대로 1431,031-472-7788,2017-05-12
0146,관악역,k0201,경부선,Gwanak,冠 岳,일반역,,,37.4195780000,126.9084760000,한국철도공사,경기도 안양시 만안구 경수대로 1273번길 46,031-471-7788,2017-05-12
0147,안양역,k0201,경부선,Anyang,安 養,일반역,,,37.4019290000,126.9226470000,한국철도공사,경기도 안양시 만안구 만안로 232,031-448-7788,2017-05-12
0329,운정역,k0203,경의중앙선,Unjeong,雲 井,일반역,,,37.7254410000,126.7670760000,한국철도공사,경기도 파주시 운정역길 368(야당동 299-4번지),031-948-1877,2017-05-12
0330,금릉역,k0203,경의중앙선,Geumneung,金 陵,일반역,,,37.7512950000,126.7654010000,한국철도공사,경기도 파주시 금촌동 금릉로 129,031-948-4788,2017-05-12
0331,금촌역,k0203,경의중앙선,Geumchon,金 村,일반역,,,37.7661060000,126.7745150000,한국철도공사,경기도 파주시 새꽃로 193,031-946-0788,2017-05-12
0333,월롱역,k0203,경의중앙선,Wollong,月 籠,일반역,,,37.7962010000,126.7925740000,한국철도공사,경기도 파주시 월롱면 통일로 980,031-942-5753,2017-05-12
0334,파주역,k0203,경의중앙선,Paju,坡 州,일반역,,,37.8153910000,126.7924260000,한국철도공사,경기도 파주시 파주읍 주라위길 38,031-960-3209,2017-05-12
0335,문산역,k0203,경의중앙선,Munsan,汶 山,일반역,,,37.8545650000,126.7875310000,한국철도공사,경기도 파주시 문산읍 문산역로 94,031-952-7788,2017-05-12
0134,남영역,k0201,경부선,Namyeong,南 營,일반역,,,37.5405970000,126.9711710000,한국철도공사,서울시 용산구 한강대로 77길 25(갈월동),02-792-7788,2017-05-12
0135,용산역,k0201,경부선,Yongsan,龍 山,환승역,k0201+k0205,경부/경원/경의중앙,37.5298900000,126.9647750000,한국철도공사,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),02-3780-5592,2017-05-12
0319,지축역,k0305,일산선,Jichuk,紙 杻,일반역,,,37.6481140000,126.9137460000,한국철도공사,경기도 고양시 덕양구 삼송로 300(지축동),02-6110-3191,2017-05-12
0318,삼송역,k0305,일산선,Samsong,三 松,일반역,,,37.6530960000,126.8955590000,한국철도공사,경기도 고양시 덕양구 삼송로 205번길(삼송동 20-14),031-965-6766,2017-05-12
0317,원흥역,k0305,일산선,Wonheung,元興,일반역,,,37.6507090000,126.8732390000,한국철도공사,경기도 고양시 덕양구 원흥동 569-15,031-965-6766,2017-05-12
0316,원당역,k0305,일산선,Wondang,元 堂,일반역,,,37.6531030000,126.8428910000,한국철도공사,경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7),031-965-8747,2017-05-12
0315,화정역,k0305,일산선,Hwajeong,花 井,일반역,,,37.6378370000,126.8325030000,한국철도공사,경기도 고양시 덕양구 화정동 400-2,031-974-4971,2017-05-12
0322,대곡역,k0203,경의중앙선,Daegok,大 谷,환승역,k0203+k0305,일산/경의중앙,37.6316290000,126.8110250000,한국철도공사,경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1),031-965-8516,2017-05-12
0313,백석역,k0305,일산선,Baekseok,白 石,일반역,,,37.6429730000,126.7881090000,한국철도공사,경기도 고양시 일산동구 중앙로 1042,031-902-7788,2017-05-12
0312,마두역,k0305,일산선,Madu,馬 頭,일반역,,,37.6521850000,126.7776410000,한국철도공사,경기도 고양시 일산동구 중앙로 지하 1180(마두동),031-904-7788,2017-05-12
0311,정발산역,k0305,일산선,Jeongbalsan,鼎鉢山,일반역,,,37.6597090000,126.7732540000,한국철도공사,경기도 고양시 일산동구 마두 1동 1123(일산동구 중앙로 1270),031-904-7799,2017-05-12
0310,주엽역,k0305,일산선,Juyeop,注 葉,일반역,,,37.6701380000,126.7612320000,한국철도공사,경기도 고양시 일산서구 중앙로 1432(주엽동 166-7),031-916-7799,2017-05-12
0309,대화역,k0305,일산선,Daehwa,大 化,일반역,,,37.6758830000,126.7477560000,한국철도공사,경기도 고양시 일산서구 중앙로 1569(대화동 2221),031-917-7799,2017-05-12
0111,이촌역,k0205,경의중앙선,Ichon,二 村,환승역,,경의중앙/4,37.5224760000,126.9738160000,한국철도공사,서울시 용산구 이촌로 71길 42,02-798-3071,2017-05-12
0112,서빙고역,k0203,경의중앙선,Seobinggo,西氷庫,일반역,,,37.5196100000,126.9883580000,한국철도공사,서울시 용산구 서빙고로 238(서빙고동 241-11),02-795-0778,2017-05-12
0113,한남역,k0205,경의중앙선,Hannam,漢 南,일반역,,,37.5293610000,127.0089840000,한국철도공사,서울시 용산구 독서당로6길 12-13(한남동),02-798-5710,2017-05-12
0136,노량진역,k0201,경부선,Noryangjin,鷺梁津,환승역,,경부/9,37.5140720000,126.9416710000,한국철도공사,서울시 동작구 노량진로 151,02-814-7788,2017-05-12
0137,대방역,k0201,경부선,Daebang,大 方,일반역,,,37.5133920000,126.9264070000,한국철도공사,서울시 영등포구 여의대방로 300,02-812-0720,2017-05-12
0138,신길역,k0201,경부선,Singil,新 吉,환승역,,경부/5,37.5170180000,126.9177430000,한국철도공사,서울시 영등포구 영등포로 327,02-834-7787,2017-05-12
0139,영등포역,k0201,경부선,Yeongdeungpo,永登浦,일반역,,,37.5157560000,126.9074110000,한국철도공사,서울시 영등포구 경인로 846(영등포동 1가 618-496),02-2639-3256,2017-05-12
0140,신도림역,k0201,경부선,Sindorim,新道林,환승역,,경부/2,37.5089830000,126.8915130000,한국철도공사,서울시 구로구 새말로 117-21,02-2639-3262,2017-05-12
0141,구로역,k0201,경부선,Guro,九 老,환승역,k0201+k0301,경부/경인,37.5031780000,126.8820370000,한국철도공사,서울시 구로구 구로중앙로 174,02-868-0336,2017-05-12
0142,가산디지털단지역,k0201,경부선,Gasan Digital Complex,加山디지털團 地,환승역,,경부/7,37.4815680000,126.8826280000,한국철도공사,서울시 금천구 벚꽃로 309,02-2639-3345,2017-05-12
0143,독산역,k0201,경부선,Doksan,禿 山,일반역,,,37.4659940000,126.8895080000,한국철도공사,서울시 금천구 벚꽃로 115,02-862-7878,2017-05-12
0144,금천구청역,k0201,경부선,Geumcheon-Gu Office,衿川區廳,환승역,k0201+k2012,경부/광명셔틀,37.4557600000,126.8943440000,한국철도공사,서울시 금천구 시흥대로 63길 91,02-803-0019,2017-05-12
0149,금정역,k0201,경부선,Geumjeong,衿 井,환승역,,경부/4,37.3719570000,126.9436110000,한국철도공사,경기도 군포시 군포로 750,031-393-7788,2017-05-12
0150,군포역,k0201,경부선,Gunpo,軍 浦,일반역,,,37.3537320000,126.9485170000,한국철도공사,경기도 군포시 군포역1길 27,031-452-7788,2017-05-12
0151,당정역,k0201,경부선,Dangjeong,當井,일반역,,,37.3433800000,126.9483880000,한국철도공사,경기도 군포시 당정역로 91,031-457-0998,2017-05-12
0152,의왕역,k0201,경부선,Uiwang,義 王,일반역,,,37.3206480000,126.9480990000,한국철도공사,경기도 의왕시 철도박물관로 66(삼동),031-461-7788,2017-05-12
0153,성균관대역,k0201,경부선,Sungkyunkwan Univ.,成 均 館 大,일반역,,,37.3003440000,126.9708610000,한국철도공사,경기도 수원시 장안구 서부로 2149,031-293-7788,2017-05-12
0154,화서역,k0201,경부선,Hwaseo,華 西,일반역,,,37.2839900000,126.9895810000,한국철도공사,경기도 수원시 팔달구 덕영대로 692,031-242-7788,2017-05-12
0245,수원(분당)역,k0304,분당선,Suwon,水 原,환승역,k0304+k0201,경부/분당,37.2661620000,126.9998210000,한국철도공사,경기도 수원시 팔달구 덕영대로 924,031-242-7738,2017-05-12
0440,인덕원역,k0303,과천선,Indeogwon,仁德院,일반역,,,37.4019010000,126.9768180000,한국철도공사,경기도 안양시 동안구 흥안대로 529,031-422-7788,2017-05-12
0441,평촌역,k0303,과천선,Pyeongchon,坪 村,일반역,,,37.3943460000,126.9638810000,한국철도공사,경기도 안양시 동안구 부림로 지하 123,031-383-7788,2017-05-12
0442,범계역,k0303,과천선,Beomgye,凡溪,일반역,,,37.3897830000,126.9507520000,한국철도공사,경기도 안양시 동안구 동안로 지하 130,031-384-7788,2017-05-12
0444,산본역,k0302,안산선,Sanbon,山 本,일반역,,,37.3580190000,126.9329690000,한국철도공사,경기도 군포시 번영로 504,031-391-7788,2017-05-12
0445,수리산역,k0302,안산선,Surisan,修理山,일반역,,,37.3502970000,126.9255370000,한국철도공사,경기도 군포시 번영로 385,031-396-7787,2017-05-12
0446,대야미역,k0302,안산선,Daeyami,大夜味,일반역,,,37.3283040000,126.9171610000,한국철도공사,경기도 군포시 대야1로 28,031-437-7788,2017-05-12
0447,반월역,k0302,안산선,Banwol,半 月,일반역,,,37.3122440000,126.9036840000,한국철도공사,경기도 안산시 상록구 건건로 119-10,031-438-7788,2017-05-12
0448,상록수역,k0302,안산선,Sangnoksu,常綠樹,일반역,,,37.3028450000,126.8665330000,한국철도공사,경기도 안산시 상록구 상록수로 61,031-407-7788,2017-05-12
0450,중앙역,k0302,안산선,Jungang,中 央,일반역,,,37.3160550000,126.8385320000,한국철도공사,경기도 안산시 단원구 중앙대로 918,031-485-7788,2017-05-12
0449,한대앞역,k0302,안산선,Hangyang Univ. at Ansan,漢大앞,일반역,,,37.3096850000,126.8536560000,한국철도공사,경기도 안산시 상록구 충장로 337,031-406-7788,2017-05-12
0451,고잔역,k0302,안산선,Gojan,古 棧,일반역,,,37.3168210000,126.8230940000,한국철도공사,경기도 안산시 단원구 중앙대로 784,031-482-7788,2017-05-12
0452,초지역,k0302,안산선,Choji,草 芝,일반역,,,37.3205830000,126.8061510000,한국철도공사,경기도 안산시 단원구 중앙대로 620,031-480-2788,2017-05-12
0453,안산역,k0302,안산선,Ansan,安 山,일반역,,,37.3270060000,126.7887480000,한국철도공사,경기도 안산시 단원구 중앙대로 462,031-491-7788,2017-05-12
0454,신길온천역,k0302,안산선,Singiloncheon,新 吉溫 泉,일반역,,,37.3374880000,126.7673060000,한국철도공사,경기도 안산시 단원구 황고개로 2,031-491-7787,2017-05-12
0455,정왕역,k0302,안산선,Jeongwang,正 往,일반역,,,37.3518160000,126.7428440000,한국철도공사,경기도 시흥시 마유로 418길 15,031-319-7787,2017-05-12
0456,오이도역,k0302,안산선,Oido,烏耳島,환승역,k0302+k2015,안산/수인,37.3617730000,126.7384370000,한국철도공사,경기도 시흥시 역전로 430,031-319-7788,2017-05-12
0251,달월역,k2015,수인선,Darwol,達月,일반역,,,37.3799930000,126.7454310000,한국철도공사,경기도 시흥시 서해안로 736번길 55(월곶동),031-8077-5616,2017-05-12
0252,월곶역,k2015,수인선,Wolgot,月串,일반역,,,37.3918900000,126.7427410000,한국철도공사,경기도 시흥시 월곶 중앙로 14번길,031-8077-5512,2017-05-12
0253,소래포구역,k2015,수인선,Soraepogu,蘇來浦口,일반역,,,37.4009630000,126.7335330000,한국철도공사,인천시 남동구 소래역로 51,031-8077-5521,2017-05-12
0254,인천논현역,k2015,수인선,Incheon Nonhyeon,仁川論峴,일반역,,,37.4006410000,126.7224950000,한국철도공사,인천시 남동구 청능대로 567,031-8077-5531,2017-05-12
0255,호구포역,k2015,수인선,Hogupo,虎口浦,일반역,,,37.4016220000,126.7086820000,한국철도공사,인천시 남동구 호구포로 205,031-8077-5541,2017-05-12
0256,남동인더스파크역,k2015,수인선,Namdong Induspark,,일반역,,,37.4078680000,126.6956130000,한국철도공사,인천광역시 남동구 고잔동 970-14,031-8077-5551,2017-05-12
0257,원인재역,k2015,수인선,Woninjae,源仁齋,환승역,,수인/인천1,37.4129210000,126.6869520000,한국철도공사,인천시 연수구 벚꽃로 195,031-8077-5572,2017-05-12
0258,연수역,k2015,수인선,Yeonsu,延壽,일반역,,,37.4177690000,126.6789910000,한국철도공사,인천시 연수구 벚꽃로 115,031-8077-5581,2017-05-12
0259,송도역,k2015,수인선,Songdo,松島,일반역,,,37.4177690000,126.6789910000,한국철도공사,인천시 연수구 비류대로 175(옥련동),031-8077-5593,2017-05-12
0261,인하대역,k2015,수인선,Inha Univ.,仁荷大,일반역,,,37.4481910000,126.6498320000,한국철도공사,인천시 남구 용현동 294-3,031-8077-5643,2017-05-12
0262,숭의역,k2015,수인선,Sungui,崇 義,일반역,,,37.4608910000,126.6380350000,한국철도공사,인천시 남구 인주대로 지하6,031-8077-5651,2017-05-12
0263,신포역,k2015,수인선,Sinpo,新 浦,일반역,,,37.4684420000,126.6245090000,한국철도공사,인천시 중구 사동 26-19,031-8077-5663,2017-05-12
0114,옥수역,k0205,경의중앙선,Oksu,玉 水,환승역,,경의중앙/3,37.5405140000,127.01869800,한국철도공사,서울시 성동구 동호로 지하21(옥수동),02-3299-7328,2017-05-12
0115,응봉역,k0205,경의중앙선,Eungbong,鷹 峰,일반역,,,37.5504330000,127.0348240000,한국철도공사,서울시 성동구 고산자로 123(응봉동),02-2295-6319,2017-05-12
